F0058169X,QZAGkZcwX,795032299fdbb2f4791c884fd78b11645f472e0c46d6abf74f219da5b9ae12bf,6a5aae41a0994917935bbd5221c1fe64
G0272727M,ImipXgmvIEt,eda5c2f784b7d6e1b1eff12d2418ab9d7e002be9abc5118ddf0f66625400ea51,82250b4002d94fe292fbf7a5ef3cb533
S2557244J,M6lUFPilyFc8Xc4sJlg,4040049d0b44214c995b0a806ec9f3be676beadc90f8706a845c58b0eb639806,d5ab449b0c15478f8b56b25230011499
F2137800M,xzXgFYzDJyQ,871b7a2acd5ee0923b8941134e2303536810d168eae4a0eabaa92bf186cffbe2,fbb9aca0c778415281a0ef527dc780d5
F3609454X,aMQuOz36tYWtxZ,1b765a28647cf77680896484ff5a8ac6e3acdee7fa82e7e5594d77adb8fb4d8b,524f75b22dad4800ace34b3777f68762
G4144820U,1dlmbMBw6DF6FPmQN,67687f0dfe98ad99adfa9d3fdd7cd565f975de3ad3793bd428798e9bda8a3b89,585d9d20373b447d9f6f70336058181a
F1941406W,kvsWLzSRT,86cad2d455286b0585cc7cc9775d7b2e6afb0efa1b513e8ce3b07290a7f56c30,30141356d52843358eb9b45455e0debf
G4367973U,q4C1EnbNYCM2wjWLw,5bf0f3a5ae243c9dbd7d497488ad4e13b63b2280c41699b54f60cc23cb39a90a,27f41b1f4f4c44f4bd6de628aba80d94
G4114743T,lmtbFIH5e,70bd416151398c5d79c96d1396cd2cb5c81cdd67c3ccac0eae3e0774c3441003,80016b6adc9a478ab59222fa1db2657f
G4145403U,VFgJC6qw6RvqCVbR0V,5d4bcc6c3e82689c486cd39c28a81524a741c57d087b6840daae4c10f97c2be1,0ab06d7b56b040fd826235c9b6004d9f
T0122357C,iWWY8KsOm4L1sC,6a6cd9f7bb227425cb2640bed453dcd4ffb4ee3809403757f87f01bea47cbf39,69291342076649d4b983433021fdf6f8
G8186708P,kC3JIWpjJ3tQ,873b382f1793f86f0f69e0003583925968b7369486015b38ce9fefbad2680d75,9921a70755274a32ac4bb3fbc6a48d5c
T0139038J,19sZySxX9sw6zRQ,3b4c057c165a414d3fd0cda7dff9afe215de04c39c0df856f03323b9e8f7bce2,de9ec761e4424096ac48538b5c64f510
F6661334T,IcG44wvo,9091b736426f8f8a452abb49eb224991f4d468c14bfd5af4e7960a11d86a6545,e20ae64489c149b98dab2dc1e2c97d65
G0557561W,RomHzmMfdoctbXz6n,3987ed0a4a38fceb600de10a629e86918e149c102d714f23cdedf18f861875f0,09ce24fc37974b3382d8b2c8960cebae
F7139816K,fiJt7anBj,494fc251b257a4736ce8bd2a72d34db0194b3e1f59c3f143e8d42ea02b0dc154,8ea81cbf3b024ada9a5a68452ddc25c8
G5020824P,DCcQ2sN2QN3BZFZ,5dedd783a6efebdddc91b431fab13bcbcebedf4ebb2d4de4b16d69a73502216a,3f9cb0edbdaa4ce28088a1c713ab311d
S7623407H,5DuFlqSKwmXaSRu86q,5fbc3244b5cd73289d37b9e1b88b9132797ccfa8210cbd22e30a580cf8d72c08,ca1bc67bb7904f629672cfedce032286
