5w4lj9nek0dpz1o73assgsx4pg6pj73ztjr8wz5bkzk3qtcj5miexhqajka7re4c,1,2
kpnz5r392si6cm3497ohj74spxsx13gjvagz09n9ynrvdu8pnr51k3zf1bha32po,2,2
64hdf4clsv1uc2kenu1kw9z8bmep79j7u28qsghh6z6x5jn11t4ko1qdwx6hjqca,1,3
bkpb0recq89966r1uk6bzbrbcblblp40gwh6sy3ckorrllrrqutmwt3gd5zgi6gr,2,2
hpiukgugzp9lkx93z2d1anv4qlq234s41bn4ye226iw9kuk1da4kcgbwa92qy8vs,1,3
fh94hc16oe52pr98bfac1gokfzhiztftmhj249au4bqmw3us2f8mrnxq60802sfk,2,3
m8fw9qh152ifqzwbmm2shn0xkssmypt6ebhqkyp5pqujvv2v9z7fykmen8qgqm6k,2,3
py6tq4xynvtzyz2a6zubxb8q556g7exmckgqr9uh64u4n2asph8xlek76vz8col0,1,3
68okzffc97j0cfra296mjhcyx7pmxmqhmkcnkfjtldigjcjn8jko0cetus4vut0u,1,3
m6cf0lxfncuy4gsckde7doudhzxfk7z1qe0bvcimurtb5x48sstzc5vr0n3g5mmk,3,2
4makxr6eliuy196xnxfjk4mitoktvu0qmiczbinsqe3wo9pflll4xdjv4iq7le2z,1,1
k8neg231a78nd9m2dsmhvi0a3l5epl9v1nc9d27kx74smthkkgl1ub8wjh5bjf2h,3,1
fw9slfx6e3ct7un51zd167l63gtzujbeg4q2bhvvf97kfucpbmk0n1j7tef8za2r,2,2
oxjkfxhdl4tgq0eoe4jr34lmvvjtnxm3el43t3azbva4pm0zp0qsd9qva9rz1taz,1,1
49z9bjy6ov479gxztkfh13bdrzos8r8pl35diieqfa5kyymz5thnmt3b33xqesmx,1,2
7n388ls7t9ujaeiix1tb3k13ommn7ywi8ru26iwsbx2obzotgbx1u2xefpdq3zgg,2,4
3tviekazcnjvirb805pycp0ol6c9rb6nqa3mhcbrrtf3lhb8ubw279f3ukq7c9ao,1,2
a4jzw0ruv95d7mwqyvtpz7z8k57dnmcampld7s4tvh46i5rjapqawt7mvl7j211n,3,3
iuccz0mmj0paaw3pfmv2wbe21hysfqa42d21dw333tkofp8sunp7ptmfdayetd46,2,3
fs127z0cmieg0x9bbnnxxc2whcjghxitsy2wbointzj452wn57yhl4z76281jjom,3,4
r5do1memvvzwblspcfv0oai3w1kq6n2148955w034dvbwqvimaatwmawtdkxsmwi,2,2
7d2vnmsjf43fjpo29g60hpqd9hg8qh0vaxnzdnp31rpplyc38zlue8sb105lh7dp,3,3
5uzosrwvr6cwqlyrpxbjb4ks7nks8op3qzexops3fae7m83z6cuxo3v1slxriqjq,2,3
fc693n41a4pi2f55lfuiwp63n3txuvvyyozm9ljbors102ny5qn7y5qwtx2poueq,1,2
1biaqffm5zthbz5g4gmq5oyhahtpddjiea2guy3q9jft6hqwz4o5w5urxu8rt9s4,1,3
nnjeyay7muqsd6x6mcpgbqpjwj7pihw0hqxo4wje9mlwli7fkvdcl2hqdvupv6s3,2,3
m8gqf5rk6uu1o9832zehka0xb2o412yfq8ydlr9su94nhiqyy9zwqdplzmnv27bk,2,3
qm2pupughbzhoifeg5vptj0yqe6oyoliay1p65zw7wtj1re284mkdv5kd6gynv93,3,1
myy8d1hj3gw7nnqv3ep4uihqhamj8mmf1uj3dvb2oismkgdbq0l8c6m8o917hr05,2,3
ipc1b2pvhqtdiek9vt1ojfaluv384eibwps22nkh3zv5oj6bm63j5ckxjx4bfqvf,1,4
fv7jequ9xjvlcnkxkdbbnnncadb4lhg8oahbo3uaogkynmcg3md7syc6419c0w9v,3,3
5bhi8kxp4ffaprx2dj61qdqy7x4iop0613g3zdtkdb0t8yct0v8xqp9i636zybar,2,2
miwrbutz9tlza1rx5seh5cdvh9lg6w7ebtgvptk7gcz0jrdnzu79gtp0p52dzbpg,2,3
vgsquez6hyg964eoo0kaly33w1gsy8n9u3asc2cp93ljyjjzzssarxppkfays3az,1,1
tseknx0nqkoum7eniynov5x25y1m0tddmidtontbciksnkychtwmreic1mdrnd72,2,3
6mzzy2smot6b6v3rygd4lpfdbkg0qfpclie1s8kbadswaxthq177olm71mfn3jm7,3,4
d0x2lakau9x12qwlv49qmkpq5vjt14395kumldzdd4tkdgfreoi5xbo6enksb9r6,2,4
f1jgbaly4zz4j7lvb27sukg6cx8hivk0x3dsh4mhjw00chaa3unqnjsv5jdf8hwk,1,4
w41omti9bgr47eobmgx18cvcvky7yrwze4km7u3b5jppdqde83do1ewqdjn7165g,2,1
